sourceDataSystem,code,sourceDataCode,sourceDataCodeDef,sourceDataField,notes
FMD,Rainbow smelt,226,Rainbow smelt,SpecieID,only found in FMD no other data system
FMD,Rainbow Smelts,106,Rainbow Smelts,SpecieID,only found in FMD no other data system
FMD,Rainbow trout,9,Rainbow trout,SpecieID,only found in FMD no other data system
FMD,Rainbow trout X Cutthroat trout hybrid,40,Rainbow trout X Cutthroat trout hybrid,SpecieID,only found in FMD no other data system
FMD,Rainbow/redband/steel head trout,111,Rainbow/redband/steel head trout,SpecieID,only found in FMD no other data system
FMD,Rainwater killfish,217,Rainwater killfish,SpecieID,only found in FMD no other data system
FMD,Redband trout,23,Redband trout,SpecieID,only found in FMD no other data system
FMD,Redbelly tilapia;  Zill's tilapia,264,Redbelly tilapia;  Zill's tilapia,SpecieID,only found in FMD no other data system
FMD,Redear sunfish,157,Redear sunfish,SpecieID,only found in FMD no other data system
FMD,Redside shiner,63,Redside shiner,SpecieID,only found in FMD no other data system
FMD,Redside shiner,285,Redside shiner,SpecieID,only found in FMD no other data system
FMD,Reptiles,127,Reptiles,SpecieID,only found in FMD no other data system
FMD,Reticulate sculpin,102,Reticulate sculpin,SpecieID,only found in FMD no other data system
FMD,Riffle sculpin,270,Riffle sculpin,SpecieID,only found in FMD no other data system
FMD,River carpsucker,176,River carpsucker,SpecieID,only found in FMD no other data system
FMD,Rock bass,260,Rock bass,SpecieID,only found in FMD no other data system
FMD,Rogue smallscale sucker,179,Rogue smallscale sucker,SpecieID,only found in FMD no other data system
FMD,Round whitefish,251,Round whitefish,SpecieID,only found in FMD no other data system
FMD,Russian River tule perch,168,Russian River tule perch,SpecieID,only found in FMD no other data system
FMD,Sacramento blackfish,171,Sacramento blackfish,SpecieID,only found in FMD no other data system
FMD,Sacramento perch,261,Sacramento perch,SpecieID,only found in FMD no other data system
FMD,Sacramento pikeminnow,90,Sacramento pikeminnow,SpecieID,only found in FMD no other data system
FMD,Sacramento sucker,88,Sacramento sucker,SpecieID,only found in FMD no other data system
FMD,Sacramento-San Joaquin tule perch,170,Sacramento-San Joaquin tule perch,SpecieID,only found in FMD no other data system
FMD,Saddleback gunnel,232,Saddleback gunnel,SpecieID,only found in FMD no other data system
FMD,Sailfin molly,235,Sailfin molly,SpecieID,only found in FMD no other data system
FMD,Salmonids,124,Salmonids,SpecieID,only found in FMD no other data system
FMD,Sand roller,64,Sand roller,SpecieID,only found in FMD no other data system
FMD,Sand shiner,193,Sand shiner,SpecieID,only found in FMD no other data system
FMD,Sauger,228,Sauger,SpecieID,only found in FMD no other data system
FMD,Sculpins,46,Sculpins,SpecieID,only found in FMD no other data system
FMD,Sharpnose sculpin,265,Sharpnose sculpin,SpecieID,only found in FMD no other data system
FMD,Sheldon tui chub,143,Sheldon tui chub,SpecieID,only found in FMD no other data system
FMD,Shiner perch,165,Shiner perch,SpecieID,only found in FMD no other data system
FMD,Shortfin molly,236,Shortfin molly,SpecieID,only found in FMD no other data system
FMD,Shorthead redhorse,182,Shorthead redhorse,SpecieID,only found in FMD no other data system
FMD,Shorthead sculpin,33,Shorthead sculpin,SpecieID,only found in FMD no other data system
FMD,Shortnose gar,34,Shortnose gar,SpecieID,only found in FMD no other data system
FMD,Shortnose sucker,135,Shortnose sucker,SpecieID,only found in FMD no other data system
FMD,Shoshone sculpin,269,Shoshone sculpin,SpecieID,only found in FMD no other data system
FMD,Shovelnose sturgeon,174,Shovelnose sturgeon,SpecieID,only found in FMD no other data system
FMD,Sicklefin chub,35,Sicklefin chub,SpecieID,only found in FMD no other data system
FMD,Siuslaw pikeminnow,197,Siuslaw pikeminnow,SpecieID,only found in FMD no other data system
FMD,Slender sculpin,140,Slender sculpin,SpecieID,only found in FMD no other data system
FMD,Slimy sculpin,87,Slimy sculpin,SpecieID,only found in FMD no other data system
FMD,Smallmouth buffalo,180,Smallmouth buffalo,SpecieID,only found in FMD no other data system
FMD,Snake River fine-spotted cutthroat trout,19,Snake River fine-spotted cutthroat trout,SpecieID,only found in FMD no other data system
FMD,Southern platyfish;  Platy,240,Southern platyfish;  Platy,SpecieID,only found in FMD no other data system
FMD,Speckled dace,65,Speckled dace,SpecieID,only found in FMD no other data system
FMD,Speckled dace,284,Speckled dace,SpecieID,only found in FMD no other data system
FMD,Splittail (Sacramento splittail),164,Splittail (Sacramento splittail),SpecieID,only found in FMD no other data system
FMD,Sponges,1012,Sponges,SpecieID,only found in FMD no other data system
FMD,Spoonhead sculpin,36,Spoonhead sculpin,SpecieID,only found in FMD no other data system
FMD,Spottail shiner,192,Spottail shiner,SpecieID,only found in FMD no other data system
FMD,Starry flounder,233,Starry flounder,SpecieID,only found in FMD no other data system
FMD,Stonecat,222,Stonecat,SpecieID,only found in FMD no other data system
FMD,Striped bass,80,Striped bass,SpecieID,only found in FMD no other data system
FMD,Sturgeon chub,37,Sturgeon chub,SpecieID,only found in FMD no other data system
FMD,Summer Basin tui chub,147,Summer Basin tui chub,SpecieID,only found in FMD no other data system
FMD,Surf smelt,225,Surf smelt,SpecieID,only found in FMD no other data system
FMD,Tadpole madtom,223,Tadpole madtom,SpecieID,only found in FMD no other data system
FMD,Tahoe sucker,133,Tahoe sucker,SpecieID,only found in FMD no other data system
FMD,Tench,68,Tench,SpecieID,only found in FMD no other data system
FMD,Threespine stickleback,76,Threespine stickleback,SpecieID,only found in FMD no other data system
FMD,Threespine stickleback,286,Threespine stickleback,SpecieID,only found in FMD no other data system
FMD,Threespine stickleback,287,Threespine stickleback,SpecieID,only found in FMD no other data system
FMD,Tidewater goby,160,Tidewater goby,SpecieID,only found in FMD no other data system
FMD,Tiger muskellunge,85,Tiger muskellunge,SpecieID,only found in FMD no other data system
FMD,Tiger salamander,274,Tiger salamander,SpecieID,only found in FMD no other data system
FMD,Topsmelt,163,Topsmelt,SpecieID,only found in FMD no other data system
FMD,Torrent sculpin,86,Torrent sculpin,SpecieID,only found in FMD no other data system
FMD,Trout-perch,229,Trout-perch,SpecieID,only found in FMD no other data system
FMD,Tui chub,259,Tui chub,SpecieID,only found in FMD no other data system
FMD,Tule perch,167,Tule perch,SpecieID,only found in FMD no other data system
FMD,Umatilla dace,206,Umatilla dace,SpecieID,only found in FMD no other data system
FMD,Umpqua chub,152,Umpqua chub,SpecieID,only found in FMD no other data system
FMD,Umpqua dace,153,Umpqua dace,SpecieID,only found in FMD no other data system
FMD,Umpqua pikeminnow,198,Umpqua pikeminnow,SpecieID,only found in FMD no other data system
FMD,Unidentified trout,112,Unidentified trout,SpecieID,only found in FMD no other data system
FMD,Utah chub,184,Utah chub,SpecieID,only found in FMD no other data system
FMD,Utah sucker,177,Utah sucker,SpecieID,only found in FMD no other data system
FMD,Vancouver lamprey,117,Vancouver lamprey,SpecieID,only found in FMD no other data system
FMD,Variable platyfish,242,Variable platyfish,SpecieID,only found in FMD no other data system
FMD,Vegetation:  riparian,81,Vegetation:  riparian,SpecieID,only found in FMD no other data system
FMD,Vegetation:  unspecified,83,Vegetation:  unspecified,SpecieID,only found in FMD no other data system
FMD,Vegetation:  upland,82,Vegetation:  upland,SpecieID,only found in FMD no other data system
FMD,Warmouth,101,Warmouth,SpecieID,only found in FMD no other data system
FMD,Warner sucker,134,Warner sucker,SpecieID,only found in FMD no other data system
FMD,Western mosquitofish,100,Western mosquitofish,SpecieID,only found in FMD no other data system
FMD,Western river lamprey,114,Western river lamprey,SpecieID,only found in FMD no other data system
FMD,Western silvery minnow,186,Western silvery minnow,SpecieID,only found in FMD no other data system
FMD,Western toad,276,Western toad,SpecieID,only found in FMD no other data system
FMD,Westslope cutthroat trout,21,Westslope cutthroat trout,SpecieID,only found in FMD no other data system
FMD,White bass,224,White bass,SpecieID,only found in FMD no other data system
FMD,White catfish,156,White catfish,SpecieID,only found in FMD no other data system
